,date,holiday_uk
0,01-01-2017,1
1,02-01-2017,1
2,03-01-2017,1
3,17-03-2017,2
4,14-04-2017,3
5,17-04-2017,4
6,01-05-2017,5
7,29-05-2017,2
8,12-07-2017,6
9,07-08-2017,2
10,28-08-2017,8
11,30-11-2017,2
12,25-12-2017,7
13,26-12-2017,6
14,01-01-2018,1
15,02-01-2018,1
16,17-03-2018,2
17,19-03-2018,2
18,30-03-2018,3
19,02-04-2018,4
20,07-05-2018,5
21,28-05-2018,2
22,12-07-2018,6
23,06-08-2018,2
24,27-08-2018,8
25,30-11-2018,2
26,25-12-2018,7
27,26-12-2018,6
28,01-01-2019,1
29,02-01-2019,1
30,17-03-2019,2
31,18-03-2019,2
32,19-04-2019,3
33,22-04-2019,4
34,06-05-2019,5
35,27-05-2019,2
36,12-07-2019,6
37,05-08-2019,2
38,26-08-2019,8
39,30-11-2019,2
40,25-12-2019,7
41,26-12-2019,6
